BOLD Process-ID	MUSIT no with prefix	Vitenskapelig navn i BOLD	sekvenslengde	Validert vitenskapelig navn etter strekkoding	valideringsmetode	Ekspert
NOBAS1138-15	O-F-370528	Russula melliolens	0[n]	no sequence		
NOBAS1139-15	O-F-69042	Russula melitodes	680[0n]	Validert	unite	
NOBAS1140-15	O-F-202633	Russula pelargonia	645[2n]	Validert	dendrogram, indirekte ekspert	
NOBAS1141-15	O-F-179412	Russula olivina	662[0n]	Validert	unite	
NOBAS1142-15	O-F-361614	Russula velutipes	366[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1143-15	O-F-69010	Russula lilacea	653[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1144-15	O-F-189081	Russula velutipes	631[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1145-15	O-F-244868	Russula aurea	507[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1146-15	O-F-179397	Russula integra	666[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1147-15	O-F-291084	Agaricus altipes	712[0n]	Validert	ekspert	Luis Parra
NOBAS1148-15	O-F-293299	Agaricus julius	711[0n]	Validert	ekspert	Luis Parra
NOBAS1149-15	O-F-293394	Agaricus cordilleriensis	668[0n]	Validert	ekspert	Luis Parra
NOBAS1150-15	O-F-292273	Agaricus sylvaticus	709[2n]	Validert	unite, ekspert	Luis Parra
NOBAS1151-15	O-F-292213	Agaricus sp.	506[0n]			Luis Parra
NOBAS1152-15	O-F-243293	Agaricus augustus	711[3n]	validert	unite, ekspert	Luis Parra
NOBAS1153-15	O-F-294116	Agaricus sylvaticus	672[0n]	Validert	ekspert	Luis Parra
NOBAS1154-15	O-F-243299	Amanita sp.	540[0n]			
NOBAS1155-15	O-F-295741	Amanita battarrae	543[0n]	Validert	unite, ref.seq.	
NOBAS1156-15	O-F-243300	Amanita sp.	528[0n]			
NOBAS1157-15	O-F-297075	Amanita olivaceogrisea	540[0n]	Validert	unite, ref.seq.	
NOBAS1158-15	O-F-243296	Agrocybe erebia	503[0n]			
NOBAS1159-15	O-F-297081	Agrocybe praecox	660[0n]	Validert	unite, ref.seq.	
NOBAS1160-15	O-F-248726	Cortinarius sp. BD04	553[0n]	Validert	ekspert	Balint Dima
NOBAS1161-15	O-F-248727	Cortinarius sp. BD04	553[0n]	Validert	ekspert	Balint Dima
NOBAS1162-15	O-F-248728	Cortinarius microglobisporus	476[0n]	Validert	type	
NOBAS1163-15	O-F-248745	Cortinarius aprinus	577[0n]	Validert	ekspert	Balint Dima
NOBAS1164-15	O-F-248747	Cortinarius serratissimus	560[0n]	Validert	ekspert	Balint Dima
NOBAS1165-15	O-F-248760	Cortinarius sordescens	566[0n]	Validert	ekspert	Balint Dima
NOBAS1166-15	O-F-248764	Cortinarius strenuisporus	556[0n]	Validert	ekspert	Balint Dima
NOBAS1167-15	O-F-248807	Cortinarius cinnamoviolaceus	333[0n]	Validert	ekspert	Balint Dima
NOBAS1168-15	O-F-248803	Cortinarius lebretonii	610[0n]	Validert	ekspert	Balint Dima
NOBAS1169-15	O-F-248808	Cortinarius cinnamoviolaceus	449[0n]	Validert	ekspert	Balint Dima
NOBAS1170-15	O-F-248810	Cortinarius sordidemaculatus	0[n]	no sequence		
NOBAS1171-15	O-F-248826	Cortinarius umbrinobellus	498[0n]	Validert	ekspert	Balint Dima
NOBAS1172-15	O-F-248801	Cortinarius duracinus	0[n]	no sequence		
NOBAS1173-15	O-F-248841	Inocybe posterula	426[0n]	Validert	Validert	Ellen Larsson
NOBAS1174-15	O-F-248843	Entoloma ochreoprunuloides	621[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1175-15	O-F-248861	Cortinarius fuscoumbrinus	317[0n]	Validert	ekspert	Balint Dima
NOBAS1176-15	O-F-248872	Cortinarius peronatosericeus	653[0n]	Validert	ekspert	Balint Dima
NOBAS1177-15	O-F-248993	Pholiotina vestita	421[2n]	Validert	dendrogram	
NOBAS1178-15	O-F-248875	Cortinarius spilomeus	660[0n]	Validert	ekspert	Balint Dima
NOBAS1179-15	O-F-248882	Limacella vinosorubescens	737[0n]	validert	unite	
NOBAS1180-15	O-F-248883	Lepiota tomentella	668[0n]			
NOBAS1181-15	O-F-248891	Lepiota grangei	0[n]	no sequence		
NOBAS1182-15	O-F-248892	Lepiota sp.	522[0n]			
NOBAS1183-15	O-F-248893	Lepiota castanea	536[0n]	Validert	unite, ref.seq.	
NOBAS1184-15	O-F-248895	Cortinarius psammocephalus	558[0n]			
NOBAS1185-15	O-F-248922	Lepiota tomentella	692[1n]	Validert	unite	
NOBAS1186-15	O-F-248924	Inocybe leiocephala	0[n]	no sequence		
NOBAS1187-15	O-F-248927	Inocybe sp.	603[0n]	Validert	ekspert	Ellen Larsson
NOBAS1188-15	O-F-248928	Inocybe phaeoleuca	685[0n]	Validert	ekspert	Ellen Larsson
NOBAS1189-15	O-F-248934	Cortinarius sp. BD08	654[0n]	Validert	ekspert	Balint Dima
NOBAS1190-15	O-F-248941	Cortinarius spilomeus	660[0n]	Validert	ekspert	Balint Dima
NOBAS1191-15	O-F-248945	Cortinarius fuscoperonatus	562[0n]	Validert	ekspert	Balint Dima
NOBAS1192-15	O-F-248896	Cortinarius disjungendus	567[0n]	Validert	unite, type, ekspert	Balint Dima
NOBAS1193-15	O-F-248918	Cortinarius sp. BD08	652[0n]	Validert	ekspert	Balint Dima
NOBAS1194-15	O-F-248926	Inocybe angulatosquamulosa	603[0n]	Validert	ekspert	Ellen Larsson
NOBAS1195-15	O-F-248936	Cortinarius peronatosericeus	616[0n]	Validert	ekspert	Balint Dima
NOBAS1196-15	O-F-248954	Inocybe tenebrosa	664[0n]	Validert	ekspert	Ellen Larsson
NOBAS1197-15	O-F-248968	Cortinarius subcastaneus	0[n]	no sequence		
NOBAS1198-15	O-F-248969	Cortinarius pseudosafranopes	556[1n]			
NOBAS1199-15	O-F-248970	Cortinarius saturninus	552[0n]	Validert	ekspert	Balint Dima
NOBAS1200-15	O-F-248971	Cystolepiota adulterina	689[0n]	Validert	dendrogram	
NOBAS1201-15	O-F-248977	Cortinarius sp. BD28	622[0n]	Validert	ekspert	Balint Dima
NOBAS1202-15	O-F-248978	Cortinarius sp. BD03	344[0n]	Validert	ekspert	Balint Dima
NOBAS1203-15	O-F-248983	Hygrophorus unicolor	460[0n]	Validert	unite, dendrogram	
NOBAS1392-15	O-F-249054	Inocybe amethystina	677[0n]			Ellen Larson
NOBAS1393-15	O-F-249064	Inocybe assimilata	533[1n]	Validert	ekspert	Ellen Larson
NOBAS1394-15	O-F-249059	Inocybe sp.	677[1n]	Validert	ekspert	Ellen Larson
NOBAS1395-15	O-F-249067	Inocybe muricellata	665[0n]	Validert	ekspert	Ellen Larson
NOBAS1396-15	O-F-249075	Russula roseipes	664[0n]	Validert	unite	
NOBAS1397-15	O-F-249079	Inocybe cf. mixtilis	579[0n]	Validert	ekspert	Ellen Larson
NOBAS1398-15	O-F-249080	Inocybe amicta	601[0n]	Validert	ekspert	Ellen Larson
NOBAS1399-15	O-F-248477	Cortinarius glandicolor	568[0n]	Validert	type	
NOBAS1400-15	O-F-248602	Cortinarius dolabratus	547[0n]	Validert	ekspert	Balint Dima
NOBAS1401-15	O-F-248476	Cortinarius suboenochelis	568[0n]	Validert	type, ekspert	Balint Dima
NOBAS1402-15	O-F-248604	Cortinarius dolabratus	547[0n]	Validert	unite, ekspert	Balint Dima
NOBAS1403-15	O-F-249071	Russula romellii	649[0n]	Validert	unite	
NOBAS1404-15	O-F-248673	Cortinarius adustorimosus	583[0n]	Validert	ekspert	Balint Dima
NOBAS1405-15	O-F-248682	Cortinarius neofurvolaesus	553[0n]	Validert	ekspert	Balint Dima
NOBAS1406-15	O-F-248698	Cortinarius turgidoides	558[0n]	Validert	ekspert	Balint Dima
NOBAS1407-15	O-F-249752	Lepista flaccida	623[0n]	Validert	unite, ref.seq.	
NOBAS1408-15	O-F-249751	Mycena niveipes	657[2n]	Validert	unite, dendrogram	
NOBAS1409-15	O-F-249689	Hygrophorus secretanii	539[0n]	Validert	unite, ref.seq.	
NOBAS1410-15	O-F-249692	Coprinellus disseminatus	680[1n]	Validert	unite, ref.seq.	
NOBAS1411-15	O-F-249691	Gymnopus ocior	558[1n]	Validert	unite, dendrogram	
NOBAS1412-15	O-F-249690	Strobilurus tenacellus	747[0n]			
NOBAS1413-15	O-F-249697	Polyporus tubaeformis	598[0n]	Validert	unite, ref.seq.	
NOBAS1414-15	O-F-249702	Rhodotus palmatus	0[n]	no sequence		
NOBAS1415-15	O-F-249705	Parasola kuehneri	671[1n]			
NOBAS1416-15	O-F-249706	Russula farinipes	0[n]	no sequence		
NOBAS1417-15	O-F-249704	Grifola frondosa	616[0n]	Validert	unite, ref.seq.	
NOBAS1418-15	O-F-249707	Lactarius lacunarum	622[1n]	Validert	unite, ref.seq.	
NOBAS1419-15	O-F-249709	Typhula crassipes	562[0n]			
NOBAS1420-15	O-F-249710	Mycena picta	571[1n]	Validert	unite	
NOBAS1421-15	O-F-249713	Xeromphalina cauticinalis	576[0n]	Validert	unite	
NOBAS1422-15	O-F-249715	Typhula setipes	564[0n]			
NOBAS1423-15	O-F-249721	Cortinarius pseudofallax	556[0n]	Validert	ekspert	Balint Dima
NOBAS1424-15	O-F-249725	Macrotyphula filiformis	711[0n]	Validert	unite, dendrogram	
NOBAS1425-15	O-F-249727	Calocera glossoides	412[1n]	Validert	unite	
NOBAS1426-15	O-F-249736	Lactarius rufus	686[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1427-15	O-F-249738	Mycena viridimarginata	653[0n]	Validert	unite	Arne Aronsen
NOBAS1428-15	O-F-249726	Cystoderma carcharias	697[0n]	Validert	unite, ref.seq.	
NOBAS1429-15	O-F-249740	Inocybe lacera	643[0n]	Validert	ekspert	Ellen Larson
NOBAS1430-15	O-F-249712	Typhula spathulata	739[0n]	Validert	unite, dendrogram	
NOBAS1431-15	O-F-249695	Russula depallens	631[0n]	Validert	unite, ref.seq.	
NOBAS1432-15	O-F-249696	Polyporus leptocephalus	623[0n]	Validert	unite	
NOBAS1433-15	O-F-249708	Leccinum melaneum	483[0n]			
NOBAS1434-15	O-F-249711	Boletus subappendiculatus	707[0n]	Validert	unite, ref.seq.	
NOBAS1435-15	O-F-249732	Pholiota gummosa	660[0n]			
NOBAS1436-15	O-F-249741	Cortinarius betulinus	632[0n]			
NOBAS1437-15	O-F-249742	Panellus ringens	624[0n]	Validert	unite	
NOBAS1438-15	O-F-249743	Hygrocybe salicis-herbaceae	600[0n]	Validert	unite	
NOBAS1439-15	O-F-249745	Lactarius fennoscandicus	698[0n]	Validert	unite, dendrogram	
NOBAS1440-15	O-F-249746	Strobilurus esculentus	719[0n]	Validert	unite	
NOBAS1441-15	O-F-249747	Agrocybe dura	707[0n]	Validert	unite	
NOBAS1442-15	O-F-249748	Entoloma aprile	607[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1443-15	O-F-249756	Crepidotus caspari	666[0n]			
NOBAS1444-15	O-F-249758	Cortinarius cinnamomeoluteus	650[0n]	Validert	unite, indirekte ekspert	
NOBAS1445-15	O-F-249759	Inocybe caprimulgi	615[0n]	Validert	ekspert	Ellen Larson
NOBAS1446-15	O-F-249767	Hebeloma mesophaeum	626[0n]	Validert	ekspert	Henry Beker
NOBAS1447-15	O-F-249768	Lyophyllum semitale	638[0n]	Validert	ekspert	
NOBAS1448-15	O-F-249771	Amanita rubescens	582[0n]	Validert	dendrogram	
NOBAS1449-15	O-F-249772	Tricholoma imbricatum	652[0n]	Validert	unite, ref.seq.	
NOBAS1450-15	O-F-249773	Hygrocybe reidii	669[0n]	Validert	unite, ref.seq.	
NOBAS1451-15	O-F-249774	Russula integra	666[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1452-15	O-F-249776	Inocybe substraminipes	681[1n]	Validert	ekspert	Ellen Larson
NOBAS1453-15	O-F-249777	Melanoleuca melaleuca	676[0n]	Validert	unite	
NOBAS1454-15	O-F-249778	Tricholoma focale	432[0n]	Validert	unite, ref.seq.	
NOBAS1455-15	O-F-249781	Melanoleuca brevipes	528[0n]			
NOBAS1456-15	O-F-249783	Tricholoma apium	610[0n]	Validert	unite, ref.seq.	
NOBAS1457-15	O-F-249785	Bonomyces arnoldii	676[0n]	Validert	unite	Pablo Alvarado
NOBAS1458-15	O-F-249786	Clitopilus scyphoides	649[0n]			
NOBAS1459-15	O-F-249788	Hygrophorus purpurascens	561[0n]	Validert	unite, ref.seq.	
NOBAS1460-15	O-F-249790	Infundibulicybe squamulosa	661[0n]	Validert	unite	
NOBAS1461-15	O-F-249791	Russula pallescens	588[0n]	Validert	unite	
NOBAS1462-15	O-F-249792	Thelephora caryophyllea	632[0n]	Validert	unite	
NOBAS1463-15	O-F-249793	Tricholoma borgsjoeense	687[0n]	Validert	unite	
NOBAS1464-15	O-F-249795	Inocybe bongardii	595[0n]	Validert	ekspert	Ellen Larson
NOBAS1465-15	O-F-249796	Clitocybe metachroa	643[0n]	Validert	ekspert	Pablo Alvarado
NOBAS1466-15	O-F-249797	Russula olivascens	661[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1467-15	O-F-249798	Amanita submembranacea	499[0n]	Validert	unite, ref.seq.	
NOBAS1468-15	O-F-249799	Cortinarius pinigaudis	569[0n]	Validert	ekspert	Balint Dima
NOBAS1469-15	O-F-249801	Cortinarius aureofulvus	633[0n]	Validert	ekspert	Balint Dima
NOBAS1470-15	O-F-249802	Tricholoma orirubens	382[1n]	Validert	ekspert	Jacob Heilmann-Clausen
NOBAS1471-15	O-F-249803	Pluteus romellii	675[0n]			
NOBAS1472-15	O-F-249804	Cortinarius suberi	428[0n]	Validert	unite, ekspert	Balint Dima
NOBAS1473-15	O-F-249805	Chrysomphalina grossula	565[0n]	Validert	unite, ref.seq.	
NOBAS1474-15	O-F-249806	Lepista luscina	693[0n]	Validert	unite	
NOBAS1475-15	O-F-249807	Infundibulicybe costata	658[1n]			
NOBAS1476-15	O-F-249808	Tricholoma saponaceum	417[0n]			
NOBAS1477-15	O-F-249809	Limacella glioderma	686[1n]	Validert	unite	
NOBAS1478-15	O-F-249810	Rugosomyces carneus	676[0n]	Validert	unite	
NOBAS1479-15	O-F-249811	Russula atroglauca	379[0n]	Validert	unite, dendrogram	
NOBAS1480-15	O-F-249812	Hygrocybe quieta	0[n]	no sequence		
NOBAS1481-15	O-F-249813	Hygrocybe substrangulata	581[1n]			
NOBAS1482-15	O-F-249814	Inocybe calamistrata	374[0n]	Validert	ekspert	Ellen Larsson
NOBAS1483-15	O-F-249816	Inocybe napipes	573[0n]	Validert	ekspert	Ellen Larsson
NOBAS1484-15	O-F-249817	Melanoleuca verrucipes	688[0n]	Validert	unite, ref.seq.	
NOBAS1485-15	O-F-249818	Ramaria fennica	626[0n]	Validert	ekspert	Mika Toivonen
NOBAS1486-15	O-F-249821	Lactarius fennoscandicus	698[1n]	Validert	unite, dendrogram	
NOBAS1487-15	O-F-249630	Stropharia cyanea	649[0n]	Validert	unite, dendrogram	
NOBAS1488-15	O-F-249655	Phaeocollybia jennyae	605[0n]			
NOBAS1489-15	O-F-249652	Phaeocollybia lugubris	454[0n]	Validert	unite	
NOBAS1490-15	O-F-249638	Cortinarius aureopulverulentus	604[0n]	Validert	ekspert	Balint Dima
NOBAS1491-15	O-F-249636	Leucoagaricus leucothites	669[0n]	Validert	unite, ref.seq.	
NOBAS1492-15	O-F-249635	Tricholoma cingulatum	656[0n]	Validert	unite	
NOBAS1493-15	O-F-249634	Tricholoma argyraceum	626[0n]	Validert	ekspert	Jacob Heilmann-Clausen
NOBAS1494-15	O-F-249633	Russula chloroides	660[0n]	Validert		
NOBAS1495-15	O-F-249631	Mycena pearsoniana	491[0n]	Validert	unite	
NOBAS1496-15	O-F-249629	Inocybe sp.	609[0n]	Validert	ekspert	Ellen Larsson
NOBAS1497-15	O-F-249628	Xerocomus sp.	729[0n]			
NOBAS1498-15	O-F-249625	Deconica inquilina	655[0n]			
NOBAS1499-15	O-F-249624	Cortinarius talus	604[0n]	Validert	type	
NOBAS1500-15	O-F-249623	Entoloma sericatum	851[1n]	Validert	ekspert	Brandrud, Dima
NOBAS1501-15	O-F-249622	Lyophyllum rancidum	635[0n]			Pablo Alvarado
NOBAS1502-15	O-F-249621	Hygrophorus russula	504[0n]	Validert	unite, ref.seq.	
NOBAS1503-15	O-F-249823	Cortinarius balteatus	615[0n]	Validert	ekspert	Balint Dima
NOBAS1504-15	O-F-249615	Hebeloma pseudofragilipes	655[0n]	Validert	ekspert	Henry Beker
NOBAS1505-15	O-F-249680	Hygrocybe punicea	601[1n]	Validert	unite, ref.seq.	
NOBAS1506-15	O-F-249678	Entoloma euchroum	615[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1507-15	O-F-249668	Hemipholiota heteroclita	660[0n]	Validert	unite	
NOBAS1508-15	O-F-249672	Gomphidius maculatus	704[1n]	Validert	unite	
NOBAS1509-15	O-F-249676	Lactarius musteus	694[0n]	Validert	unite, dendrogram	
NOBAS1510-15	O-F-249674	Lactarius musteus	694[0n]	Validert	unite, dendrogram	
NOBAS1511-15	O-F-249675	Leucopaxillus paradoxus	662[0n]	Validert	rett slekt	
NOBAS1512-15	O-F-249838	Inocybe sp.	661[0n]	Validert	ekspert	Ellen Larsson
NOBAS1513-15	O-F-249842	Russula citrinochlora	635[0n]	Validert	unite, ref.seq.	
NOBAS1514-15	O-F-249830	Inocybe umbratica	635[0n]	Validert	ekspert	Ellen Larsson
NOBAS1515-15	O-F-249825	Xeromphalina cornui	443[0n]			
NOBAS1516-15	O-F-249831	Hygrophorus pudorinus	555[0n]	Validert	ekspert	Ellen Larsson
NOBAS1517-15	O-F-249834	Hygrophorus erubescens	555[0n]	Validert	ekspert	Ellen Larsson
NOBAS1518-15	O-F-249829	Gautieria morchelliformis	630[0n]	Validert	unite, ref.seq.	
NOBAS1519-15	O-F-249893	Lentinus suavissimus	614[0n]	Validert	unite	
NOBAS1520-15	O-F-249887	Cortinarius lilacinopusillus	556[0n]	Validert	ekspert	Balint Dima
NOBAS1521-15	O-F-249885	Galerina paludosa	438[0n]	Validert	unite	
NOBAS1522-15	O-F-249884	Naucoria escharioides	439[0n]			
NOBAS1523-15	O-F-249883	Cortinarius croceus	572[0n]	Validert	unite, dendrogram	
NOBAS1524-15	O-F-249882	Inocybe calida	502[0n]	Validert	ekspert	Ellen Larsson
NOBAS1525-15	O-F-249878	Lyophyllum palustre	651[0n]	Validert	unite	
NOBAS1526-15	O-F-249877	Tubaria conspersa	655[0n]			
NOBAS1527-15	O-F-249879	Hypholoma myosotis	434[0n]	Validert	unite	
NOBAS1528-15	O-F-249876	Mycena galopus	500[1n]	Validert	unite, dendrogram	
NOBAS1529-15	O-F-249875	Russula risigallina	572[0n]	Validert	unite, ref.seq.	
NOBAS1530-15	O-F-249874	Lichenomphalia umbellifera	629[2n]	Validert	unite	
NOBAS1531-15	O-F-249873	Laccaria tortilis	653[0n]	Validert	unite	
NOBAS1532-15	O-F-249872	Parasola leiocephala	671[0n]	Validert	unite, dendrogram	
NOBAS1533-15	O-F-249871	Mycena haematopus	649[0n]	Validert	unite, dendrogram	
NOBAS1534-15	O-F-249870	Naucoria scolecina	664[0n]			
NOBAS1535-15	O-F-249868	Pholiota tuberculosa	672[0n]			
NOBAS1536-15	O-F-249865	Inocybe cryptocystis	639[0n]	Validert	ekspert	Ellen Larsson
NOBAS1537-15	O-F-249864	Bonomyces arnoldii	675[0n]	Validert	unite	Pablo Alvarado
NOBAS1538-15	O-F-249863	Hygrocybe cinerella	0[n]	no sequence		
NOBAS1539-15	O-F-249861	Russula versicolor	648[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1540-15	O-F-249860	Russula puellula	669[0n]	Validert	unite	
NOBAS1541-15	O-F-249859	Inocybe proximella	577[0n]	Validert	Validert	Ellen Larsson
NOBAS1542-15	O-F-249858	Inocybe geraniodora	585[0n]	Validert	ekspert	Ellen Larsson
NOBAS1543-15	O-F-249857	Inocybe stellifera	552[0n]	Validert	ekspert	Ellen Larsson
NOBAS1544-15	O-F-249856	Inocybe hystrix	674[0n]	Validert	ekspert	Ellen Larsson
NOBAS1545-15	O-F-249855	Inocybe calospora	604[0n]	Validert	ekspert	Ellen Larsson
NOBAS1546-15	O-F-249853	Inocybe transitoria	554[0n]	Validert	ekspert	Ellen Larsson
NOBAS1547-15	O-F-249852	Inocybe sindonia	630[0n]	Validert	Validert	Ellen Larsson
NOBAS1548-15	O-F-249851	Inocybe subnudipes	659[1n]	Validert	ekspert	Ellen Larsson
NOBAS1549-15	O-F-249850	Tricholoma olivaceotinctum	650[0n]	Validert	unite, dendrogram	
NOBAS1550-15	O-F-249849	Gymnopus fuscopurpureus	0[n]	no sequence		
NOBAS1551-15	O-F-249944	Inocybe paludicola	621[0n]	Validert	ekspert	Ellen Larsson
NOBAS1552-15	O-F-249945	Inocybe stellatospora	605[0n]	Validert	ekspert	Ellen Larsson
NOBAS1553-15	O-F-245862	Entoloma fridolfingense	655[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1554-15	O-F-249908	Hohenbuehelia grisea	633[0n]			
NOBAS1555-15	O-F-249895	Gymnopus dryophilus	734[0n]	Validert	unite, ref.seq.	
NOBAS1556-15	O-F-249913	Russula intermedia	661[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1557-15	O-F-249900	Psathyrella cotonea	657[0n]	Validert	unite, dendrogram	
NOBAS1558-15	O-F-249911	Russula aurea	501[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS1559-15	O-F-249946	Cortinarius metarius	632[0n]	Validert	ekspert	Balint Dima
NOBAS1560-15	O-F-249914	Resupinatus poriaeformis	712[0n]			
NOBAS1561-15	O-F-249894	Porphyrellus porphyrosporus	648[0n]	Validert	unite, ref.seq.	
NOBAS1562-15	O-F-249901	Russula azurea	649[1n]	Validert	ekspert	Annemieke Verbeken
NOBAS1563-15	O-F-249899	Russula violeipes	654[0n]	Validert	unite, dendrogram	
NOBAS1564-15	O-F-249658	Hypsizygus ulmarius	468[1n]	Validert	unite, ref.seq.	
NOBAS1565-15	O-F-249657	Pleurotus pulmonarius	645[1n]			
NOBAS1566-15	O-F-249656	Polyporus tubaeformis	0[n]	no sequence		
NOBAS1567-15	O-F-249866	Thelephora penicillata	629[0n]	Validert	unite	
NOBAS1568-15	O-F-249869	Hypholoma elongatum	658[0n]	Validert	unite	
NOBAS1569-15	O-F-249947	Entoloma aethiops	0[n]	no sequence		
NOBAS1570-15	O-F-249948	Entoloma alvarense	0[n]	no sequence		
NOBAS1571-15	O-F-249949	Entoloma alvarense	0[n]	no sequence		
NOBAS1572-15	O-F-249950	Entoloma fulvoviolaceum	546[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1573-15	O-F-249951	Entoloma glaucobasis	655[1n]	Validert	ekspert	Brandrud, Dima
NOBAS1574-15	O-F-249952	Entoloma viiduense	669[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1575-15	O-F-249953	Entoloma griseocyaneum	676[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1576-15	O-F-249954	Entoloma pseudoparasiticum	643[1n]	Validert	ekspert	Brandrud, Dima
NOBAS1577-15	O-F-249955	Entoloma caeruleum	0[n]	no sequence		
NOBAS1578-15	O-F-249956	Entoloma roseotinctum	648[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1579-15	O-F-249957	Entoloma violaceoserrulatum	682[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1580-15	O-F-249958	Entoloma caesiellum	633[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1581-15	O-F-249959	Entoloma linkii	679[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1582-15	O-F-249960	Entoloma elodes	497[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1583-15	O-F-249961	Entoloma alpigenes	691[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1584-15	O-F-249962	Entoloma jubatum	694[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1585-15	O-F-249963	Entoloma juncinum	656[1n]	Validert	ekspert	Brandrud, Dima
NOBAS1586-15	O-F-249964	Entoloma lucidum	641[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1587-15	O-F-249965	Entoloma caesiellum	592[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1588-15	O-F-249966	Entoloma alpigenes	691[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1589-15	O-F-249967	Entoloma longistriatum	0[n]	no sequence		sendt til Tor Erik og Balint 13.11.2015
NOBAS1590-15	O-F-249968	Entoloma mougeotii	0	Contamination		Brandrud, Dima
NOBAS1591-15	O-F-249969	Entoloma caesiellum	593[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1592-15	O-F-249970	Entoloma clandestinum	659[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1593-15	O-F-249971	Entoloma lividocyanulum	608[1n]	Validert	ekspert	Brandrud, Dima
NOBAS1594-15	O-F-249972	Entoloma prunuloides	667[1n]	Validert	ekspert	Brandrud, Dima
NOBAS1595-15	O-F-249973	Entoloma rubrobasis	757[2n]	Validert	ekspert	Brandrud, Dima
NOBAS1596-15	O-F-249974	Entoloma roseotinctum	118[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1597-15	O-F-249975	Entoloma sericatum	0[n]	no sequence		
NOBAS1598-15	O-F-249976	Entoloma pseudofavrei	660[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1599-15	O-F-249977	Entoloma lampropus	637[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1600-15	O-F-249978	Entoloma turci	600[2n]	Validert	ekspert	Brandrud, Dima
NOBAS1601-15	O-F-249979	Entoloma fulvoviolaceum	685[1n]	Validert	ekspert	Brandrud, Dima
NOBAS1602-15	O-F-249980	Entoloma korhonenii	666[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1603-15	O-F-249981	Clitocybe sp.	498[0n]			Pablo Alvarado
NOBAS1604-15	O-F-249982	Cortinarius sp. BD10	495[1n]	Validert	ekspert	Balint Dima
NOBAS1605-15	O-F-249983	Cortinarius flexipes	454[1n]	Validert		sendt til Tor Erik og Balint 13.11.2015
NOBAS1606-15	O-F-249984	Cortinarius sp. BD14	670[0n]	Validert	ekspert	Balint Dima
NOBAS1607-15	O-F-249985	Cortinarius violaceocinereus	671[0n]	Validert		sendt til Tor Erik og Balint 13.11.2015
NOBAS1608-15	O-F-249986	Hydropus scabripes	684[0n]	Validert	unite, dendrogram	sendt til Tor Erik og Balint 13.11.2015
NOBAS1609-15	O-F-249987	Lyophyllum boudieri	662[0n]	Validert	-	sendt til Tor Erik og Balint 13.11.2015
NOBAS1610-15	O-F-249988	Lyophyllum murinum	656[0n]			Pablo Alvarado
NOBAS1611-15	O-F-249989	Lyophyllum sp. OW01	651[1n]			Pablo Alvarado
NOBAS1612-15	O-F-76003	Entoloma clypeatum	658[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1613-15	O-F-75900	Callistosporium pinicola	659[0n]	Validert	unite	
NOBAS1614-15	O-F-76009	Gautieria otthii	0	Contamination		
NOBAS1615-15	O-F-76008	Tricholoma terreum	682[0n]			
NOBAS1616-15	O-F-76004	Entoloma chytrophilum	682[0n]	Validert	ekspert	Brandrud, Dima
NOBAS1617-15	O-F-22467	Strobilurus sp. KB01	740[0n]			
NOBAS1618-15	O-F-249997	Clitocybe sp. TEB01	652[0n]	Validert	ekspert	Pablo Alvarado
NOBAS1619-15	O-F-75930	Lepista ovispora	663[0n]	Validert	unite	
NOBAS1620-15	O-F-76007	Tricholoma equestre	686[0n]			
NOBAS1621-15	O-F-291898	Boletus aereus	695[0n]			
